Classification,Summary
1,recurrent childhood spinal cord neoplasm diagnosis and at least six months since prior total body irradiation tbi craniospinal radiotherapy or radiotherapy to greater_than fifty of the pelvis
1,undifferentiated ovarian carcinoma diagnosis and must have hickman catheter in place or be eligible for placement
1,histologically or cytologically confirmed diagnosis of squamous cell carcinoma of the head and neck or unknown primary with level ii iii jugulodigastric nodal involvement which have been found in previous studies to be the result of subclinical oropharyngeal carcinoma
0,stage iv adult immunoblastic large cell lymphoma diagnosis and donor
1,stage iii squamous cell carcinoma of the lip and oral cavity diagnosis and no gastrointestinal tract disease or condition including any of the following that impairs ability to retain sunitinib tablets
1,stage iv mucoepidermoid carcinoma of the oral cavity diagnosis and must have undergone cranial irradiation
0,noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis and ongoing treatment with any other investigational agents
1,melanoma skin diagnosis and no active cns metastases by ct scan or mri
0,ovarian carcinoma diagnosis and myocardial infarction or unstable angina within two months of treatment
0,recurrent grade one follicular lymphoma diagnosis and pregnancy
0,neoplasm prostate diagnosis and cyclosporine tacrolimus sirolimus mycophenolate_mofetil methotrexate azathioprine rapamycin and targeted immune modulators such as abatacept ctla four ig adalimumab
1,recurrent adult grade iii lymphomatoid granulomatosis diagnosis and donor must have adequate veins for leukapheresis or agree to placement of central venous catheter femoral_subclavian
0,multiple myeloma diagnosis and uncontrolled diabetes mellitus or systemic infection
0,head and neck cancer diagnosis and clinically significant ophthalmologic abnormalities
1,adenocarcinoma of the lung diagnosis and platelet count greater_than equal_than one hundred zero ul
0,patient has known active central nervous system cns metastases and or carcinomatous_meningitis
0,stage ib fallopian tube cancer diagnosis and patients taking warfarin
0,adult alveolar soft part sarcoma diagnosis and patients who are receiving cyclosporine tacrolimus or other agents to prevent either graft versus host disease post bone marrow transplant or organ rejection post transplant are not eligible for this trial
1,head and neck cancer diagnosis and isoniazid
1,should woman become pregnant or suspect she is pregnant while participating in this protocol study she will inform her treating physician immediately
0,neuroendocrine carcinoma diagnosis and known history of immunocompromise including positive hiv test
0,splenic marginal zone lymphoma diagnosis and history of brain metastases
0,solid tumors diagnosis and participant has participated in clinical trial with known poly_adp ribose_polymerase parp inhibitor
0,previous vaccination against human papillomavirus hpv
0,brain tumor diagnosis and already intubated
1,breast cancer diagnosis and inr normal provided the patient is not on warfarin therapy
0,recurrent squamous cell carcinoma of the nasopharynx diagnosis and chronic treatment with systemic steroids or another immunosuppressive agent
1,recurrent pancreatic cancer diagnosis and no cardiac arrhythmia
1,unspecified childhood solid tumor protocol specific diagnosis and not specified
0,stage ii contiguous adult lymphoblastic lymphoma diagnosis and uncontrolled seizure disorder
0,gastric adenocarcinoma diagnosis and has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial
1,glioblastoma diagnosis and hemoglobin greater_than equal_than nine dl
1,stage iv lymphoepithelioma of the nasopharynx diagnosis and no history of allergic reaction attributed to compounds of similar chemical or biologic composition to docetaxel cisplatin carboplatin fluorouracil bevacizumab or other agents used in this study
0,other concurrent anticancer therapy
1,neuroblastoma diagnosis and patient has adequate bone marrow function defined
0,metastatic breast cancer diagnosis and pregnant or lactating women
0,stage ivc verrucous carcinoma of the oral cavity diagnosis and patient is unable or unwilling to abide by the study protocol or cooperate fully with the investigator
0,non small cell lung cancer diagnosis and major surgical procedure within the previous four weeks
0,thyroid carcinoma diagnosis and pregnant or breastfeeding women
1,breast cancer diagnosis and carbamazepine
0,non small cell lung cancer adenocarcinoma diagnosis and note
0,gastric cancer diagnosis and history or clinical evidence of brain metastases
0,receipt of systemic cancer therapy immunomodulatory drug therapy immunosuppressive therapy or corticosteroids greater_than twenty mg day prednisone or equivalent within fourteen days prior to the baseline visit or concurrently during the trial
0,pancreatic cancer diagnosis and inability to give informed consent
0,bladder cancer diagnosis and previous muscle invasive ie stage ttwo or higher transitional cell
0,cutaneous cell lymphoma diagnosis and inadequate bone marrow or other organ function as evidenced by
0,concurrent cold cap or iced mouth rinses for prevention of alopecia or stomatitis
0,head and neck cancer diagnosis and patients with an altered mental status or not capacitated for their medical decision making
0,childhood alveolar rhabdomyosarcoma diagnosis and new york heart association grade two or greater congestive heart failure
0,advanced solid tumors diagnosis and if lhrh agonists are being used four week washout period is recommended
0,non hodgkin lymphoma diagnosis and prophylactic antiviral and or antibacterial antibiotics to prevent recurrence of previous infections are permitted
1,non hodgkin lymphoma nhl diagnosis and adequate venous access for peripheral apheresis or consent to use temporary central venous catheter for apheresis
0,adult grade iii lymphomatoid granulomatosis diagnosis and calcium channel blockers
0,neck cancer diagnosis and metastatic disease
0,cancer diagnosis and prior high dose chemotherapy requiring hematopoetic stem cell transplantation within twelve months of study treatment start
